company_id,year,metric,computed,source,difference,category
ITC,Mar 2021,ROE,22.17674449434106,29.47,7.29,Version Difference
JINDALSTEL,Mar 2014,ROE,8.385670057496682,14.1,5.71,Version Difference
JINDALSTEL,Mar 2015,ROE,-6.900484744796122,14.1,21.0,Version Difference
JINDALSTEL,Mar 2016,ROE,-9.517203107658158,14.1,23.62,Version Difference
JINDALSTEL,Mar 2017,ROE,-8.44564240790656,14.1,22.55,Version Difference
JINDALSTEL,Mar 2018,ROE,-5.3184136909659365,14.1,19.42,Version Difference
JINDALSTEL,Mar 2019,ROE,-7.517531556802244,14.1,21.62,Version Difference
JINDALSTEL,Mar 2020,ROE,-1.2446712512057752,14.1,15.34,Version Difference
JSWENERGY,Mar 2013,ROE,14.522888459058672,8.4,6.12,Version Difference
JSWENERGY,Mar 2015,ROE,18.063314711359403,8.4,9.66,Version Difference
JSWENERGY,Mar 2016,ROE,15.045342126957955,8.4,6.65,Version Difference
JSWENERGY,Mar 2018,ROE,0.7650765076507651,8.4,7.63,Version Difference
JSWSTEEL,Mar 2013,ROE,5.443891004980955,11.66,6.22,Version Difference
JSWSTEEL,Mar 2014,ROE,1.8985548313969962,11.66,9.76,Version Difference
JSWSTEEL,Mar 2016,ROE,-2.536117262469683,11.66,14.2,Version Difference
JSWSTEEL,Mar 2018,ROE,21.83370240731481,11.66,10.17,Version Difference
JSWSTEEL,Mar 2019,ROE,21.623796522488863,11.66,9.96,Version Difference
JSWSTEEL,Mar 2021,ROE,16.835600034214355,11.66,5.18,Version Difference
JSWSTEEL,Mar 2022,ROE,31.112828209281247,11.66,19.45,Version Difference
JSWSTEEL,Mar 2023,ROE,6.300327269959662,11.66,5.36,Version Difference
LICI,Mar 2019,ROE,324.32098765432096,63.61,260.71,Version Difference
LICI,Mar 2020,ROE,270.45908183632736,63.61,206.85,Version Difference
LICI,Mar 2021,ROE,43.201626961069145,63.61,20.41,Version Difference
LICI,Mar 2022,ROE,36.38207796789557,63.61,27.23,Version Difference
LICI,Mar 2023,ROE,77.85997015119071,63.61,14.25,Version Difference
LICI,Mar 2024,ROE,49.44710986501021,63.61,14.16,Version Difference
